Aug 23 23:37:10 raspberrypi gud-drm[1589]: 2026-08-23T22:37:10.852279Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=444 accepted_transactions=444 rejected_busy_transactions=0 aio_submission_attempts=444 aio_accepted=444 aio_completed=444 processing_started=444 processing_completed=444 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=444 last_sequence=444 validation_to_aio_accept_ms_total=1546 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=44544 processing_ms_total=1777 complete_transaction_ms_total=1778
Aug 23 23:37:10 raspberrypi gud-drm[1589]: 2026-08-23T22:37:10.857839Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=445 receiver_state=InFlight
Aug 23 23:37:10 raspberrypi gud-drm[1589]: 2026-08-23T22:37:10.955349Z  WARN gud_gadget: rejected SET_BUFFER outside the bounded STATUS_ON_SET diagnostic admission window event="status_on_set_set_buffer_rejected" transaction_limit=0 started_transactions=0 active=true attempted_third_transaction=false
Aug 23 23:37:10 raspberrypi gud-drm[1589]: 2026-08-23T22:37:10.960365Z  INFO gud_drm: frame_stats payload_seq=445 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=101 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=34.81
Aug 23 23:37:10 raspberrypi gud-drm[1589]: 2026-08-23T22:37:10.960536Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=445 accepted_transactions=445 rejected_busy_transactions=0 aio_submission_attempts=445 aio_accepted=445 aio_completed=445 processing_started=445 processing_completed=445 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=445 last_sequence=445 validation_to_aio_accept_ms_total=1550 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=44645 processing_ms_total=1781 complete_transaction_ms_total=1782
Aug 23 23:37:10 raspberrypi gud-drm[1589]: 2026-08-23T22:37:10.987373Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=446 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.087908Z  INFO gud_drm: frame_stats payload_seq=446 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.088056Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=446 accepted_transactions=446 rejected_busy_transactions=0 aio_submission_attempts=446 aio_accepted=446 aio_completed=446 processing_started=446 processing_completed=446 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=446 last_sequence=446 validation_to_aio_accept_ms_total=1554 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=44745 processing_ms_total=1785 complete_transaction_ms_total=1786
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.094477Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=447 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.191415Z  WARN gud_gadget: rejected SET_BUFFER outside the bounded STATUS_ON_SET diagnostic admission window event="status_on_set_set_buffer_rejected" transaction_limit=0 started_transactions=0 active=true attempted_third_transaction=false
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.197429Z  INFO gud_drm: frame_stats payload_seq=447 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=103 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=34.13
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.197588Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=447 accepted_transactions=447 rejected_busy_transactions=0 aio_submission_attempts=447 aio_accepted=447 aio_completed=447 processing_started=447 processing_completed=447 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=447 last_sequence=447 validation_to_aio_accept_ms_total=1558 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=44848 processing_ms_total=1789 complete_transaction_ms_total=1790
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.204468Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=448 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.304966Z  INFO gud_drm: frame_stats payload_seq=448 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.305127Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=448 accepted_transactions=448 rejected_busy_transactions=0 aio_submission_attempts=448 aio_accepted=448 aio_completed=448 processing_started=448 processing_completed=448 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=448 last_sequence=448 validation_to_aio_accept_ms_total=1562 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=44948 processing_ms_total=1793 complete_transaction_ms_total=1794
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.312172Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=449 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.412887Z  INFO gud_drm: frame_stats payload_seq=449 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.413046Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=449 accepted_transactions=449 rejected_busy_transactions=0 aio_submission_attempts=449 aio_accepted=449 aio_completed=449 processing_started=449 processing_completed=449 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=449 last_sequence=449 validation_to_aio_accept_ms_total=1566 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45048 processing_ms_total=1797 complete_transaction_ms_total=1798
