frame_seq,e2e_source_ready_to_worker_end_us
1,15190.157
2,17905.210
3,17441.044
4,17620.158
5,19571.252
6,24799.117
7,25589.846
8,22941.356
9,19570.835
10,22017.763
11,20539.534
12,18622.814
13,18136.721
14,34769.431
15,51712.453
16,45174.849
17,32392.452
18,37311.150
19,28541.253
20,19287.606
21,19775.314
22,19583.909
23,7958.855
24,8021.511
25,8127.865
26,9306.303
27,7405.626
28,9861.407
29,10986.564
30,10951.616
31,14892.605
32,15789.689
33,9274.116
34,9862.501
35,7653.595
36,8486.563
37,8636.928
38,9390.261
39,9695.157
40,9406.042
41,11114.324
42,12245.626
43,13962.293
44,13366.929
45,8429.740
46,8490.106
47,9790.782
48,14786.773
49,20237.398
50,22169.325
51,22734.950
52,22436.617
53,21484.116
54,22842.867
55,22429.846
56,23564.951
57,23112.502
58,23844.273
59,22216.096
60,22850.367
61,22590.471
62,22914.117
63,22724.899
64,23615.524
65,22896.721
66,22984.325
67,22028.388
68,22158.961
69,21446.617
70,22784.012
71,22443.336
72,21173.075
73,20304.168
74,22058.596
75,20897.710
76,17870.523
77,23069.846
78,22715.002
79,23708.387
80,22751.513
81,22527.137
82,17824.690
83,17351.147
84,18047.710
85,19819.013
86,21405.523
87,21670.263
88,23283.492
89,19476.721
90,15324.793
91,12230.366
92,9079.428
93,8468.699
94,8726.198
95,7997.761
96,8245.574
97,9085.470
98,102573.917
101,138695.951
106,123018.085
110,134199.857
115,115593.606
119,125053.763
123,173372.361
129,148251.369
134,151382.306
139,173698.507
145,151764.599
150,193850.488
157,178808.403
163,174354.028
169,169603.038
175,124660.794
179,148566.838
184,180612.310
190,129261.680
194,150173.765
199,185892.674
205,138716.316
210,155202.099
215,197928.874
222,185907.154
228,203667.937
235,135549.649
240,142735.743
245,166444.704
251,152643.921
256,158583.714
261,166088.871
267,164889.339
273,148292.671
278,176090.746
284,154161.370
289,151015.796
294,152724.442
299,160176.579
305,161724.183
311,160362.776
317,144011.785
322,147019.077
327,144523.764
332,144758.608
337,149431.890
342,157996.213
347,165116.579
353,145658.921
358,157307.516
363,160280.432
368,143956.525
373,180203.351
379,143109.025
384,149433.712
389,136689.702
394,144274.858
399,168701.579
405,145438.869
410,180121.529
416,139685.952
421,128313.346
425,164009.912
431,124528.293
435,157270.067
440,190527.415
447,125271.940
451,160608.297
457,118886.626
461,131088.346
465,162136.683
470,144516.525
475,150521.213
480,184092.102
487,162929.548
493,143047.202
498,151234.181
503,179836.476
509,153136.786
514,190107.155
521,121844.543
525,135463.086
530,144032.618
535,129749.753
539,144112.201
544,139823.243
549,125515.585
553,189064.289
560,158726.995
566,160355.225
572,178888.404
578,151421.005
583,180871.737
589,183716.790
595,185085.956
602,162415.537
608,158936.839
614,169067.777
620,153256.474
625,193031.582
632,170769.653
638,178224.029
644,184101.216
651,163136.683
657,129416.107
661,183232.258
668,157068.402
673,185374.289
680,183116.685
686,150993.765
691,150032.515
696,176645.174
702,157221.891
708,159071.995
714,183378.248
721,165270.694
727,187119.758
734,170951.684
740,192315.019
747,118938.918
751,138790.222
756,131960.795
761,121756.731
765,129489.076
769,138544.024
774,124532.252
778,139808.608
783,117768.032
787,125643.241
791,131651.315
796,117164.804
800,115412.407
804,111514.751
808,136513.243
813,48043.078
814,66481.153
816,54240.890
818,38694.431
819,53057.297
821,42251.254
822,52628.026
824,41643.910
825,51689.276
827,39939.952
828,53876.672
830,43053.494
831,57457.349
833,46268.494
834,59141.047
836,47935.474
837,61000.266
839,44348.962
840,59444.121
842,49594.796
843,59692.506
845,40754.379
846,53411.203
848,42667.192
849,56386.204
851,44518.703
852,55323.599
854,42680.421
855,52927.297
857,40945.837
858,55842.714
860,45003.546
861,57532.350
863,45512.557
864,69633.705
866,55731.360
868,46374.431
869,59110.058
871,46440.109
872,58570.892
874,44777.452
875,65847.871
877,59544.537
878,72509.694
880,51557.193
881,67361.830
883,53610.474
885,43726.306
886,55632.974
888,44005.213
889,54989.068
891,40807.348
892,52323.495
894,42250.265
895,53638.078
897,40611.879
898,64105.162
900,51539.381
901,64899.069
903,60323.964
905,44583.390
906,60611.517
908,54244.693
910,48831.724
911,65505.267
913,57839.798
915,45641.932
916,113699.230
920,116128.293
924,96951.416
927,121319.856
931,69377.455
933,61396.568
935,54059.693
937,47088.078
938,67289.277
940,61280.944
942,62565.527
944,58768.391
945,69821.101
947,54281.776
949,46428.598
950,68755.319
952,62167.610
954,54227.923
955,71464.330
957,61984.954
959,53968.547
961,42753.650
962,61402.350
964,53829.902
966,46706.515
967,66025.007
969,56984.797
971,46323.338
972,62154.069
974,55229.277
976,47046.620
977,65733.809
979,59331.047
981,53888.860
983,52767.922
984,81473.497
987,55663.287
989,56358.755
991,58716.516
993,59780.422
995,60370.267
997,63167.506
999,66139.277
1001,63901.100
1003,65357.194
1005,64467.715
1007,65242.298
1009,70992.038
1011,75034.747
1013,77643.914
1015,81825.425
1017,77831.518
1019,80686.623
1022,57908.599
1024,59354.173
1026,60993.027
1028,63752.767
1030,63810.684
1032,64737.715
1034,67057.975
1036,70583.549
1038,73388.705
1040,73740.112
1042,76990.164
1044,79822.872
1047,54781.724
1049,54147.765
1051,53045.682
1052,78509.747
1055,55520.995
1057,57421.724
1059,56929.693
1061,59619.433
1063,62321.933
1065,66718.236
1067,67528.341
1069,69613.653
1071,69087.403
1073,73979.122
1075,82027.040
1078,59627.558
1080,64625.840
1082,67540.944
1084,68906.361
1086,67798.757
1088,75371.518
1090,66930.631
1092,66197.871
1094,68993.549
1096,70601.518
1098,71595.580
1100,73584.278
1102,76660.737
1104,75844.070
1106,77612.559
1108,80749.488
1110,79537.091
1112,73202.507
1114,72071.517
1116,75901.049
1118,78800.321
1121,55027.141
1123,57390.631
1125,55280.526
1127,58677.194
