payload_seq,run,transfer_bytes,output_bytes,read_size,compression,ratio,recv_ms,decompress_ms,copy_ms,total_ms
1,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,19,4,23
2,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,7,4,12
3,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,7,5,12
4,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,7,4,12
5,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,6,4,10
6,managed-fullframe-lz4,14467,3686400,14467,1,254.81,9,6,4,10
7,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,6,4,10
8,managed-fullframe-lz4,14467,3686400,14467,1,254.81,3,6,4,10
9,managed-fullframe-lz4,14467,3686400,14467,1,254.81,4,6,4,10
10,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,6,4,10
11,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,6,4,10
12,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,4,9
13,managed-fullframe-lz4,14467,3686400,14467,1,254.81,9,6,4,10
14,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,6,4,11
15,managed-fullframe-lz4,14467,3686400,14467,1,254.81,3,6,4,10
16,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,6,4,11
17,managed-fullframe-lz4,14467,3686400,14467,1,254.81,2,6,5,12
18,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,6,4,11
19,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,6,4,10
20,managed-fullframe-lz4,14467,3686400,14467,1,254.81,2,6,4,10
21,managed-fullframe-lz4,14467,3686400,14467,1,254.81,8,6,4,10
22,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,6,4,11
23,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,6,4,10
24,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
25,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
26,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,4,9
27,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
28,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,4,10
29,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
30,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
31,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,4,10
32,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
33,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,4,10
34,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,4,10
35,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,4,9
36,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
37,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
38,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
39,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
40,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
41,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
42,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
43,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
44,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
45,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
46,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,8
47,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
48,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
49,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
50,managed-fullframe-lz4,14467,3686400,14467,1,254.81,8,5,3,9
51,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,3,9
52,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,3,9
53,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,3,9
54,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,4,9
55,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,5,3,8
56,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,3,9
57,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,5,3,9
58,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,5,4,9
59,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,5,3,9
60,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,4,9
61,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,3,9
62,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,3,8
63,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,3,9
64,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,4,10
65,managed-fullframe-lz4,14467,3686400,14467,1,254.81,4,5,3,8
66,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,3,9
67,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,5,3,9
68,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,3,8
69,managed-fullframe-lz4,14467,3686400,14467,1,254.81,6,5,3,8
70,managed-fullframe-lz4,14467,3686400,14467,1,254.81,7,5,3,8
71,managed-fullframe-lz4,14467,3686400,14467,1,254.81,10,5,3,9
72,managed-fullframe-lz4,14467,3686400,14467,1,254.81,5,5,4,10
