Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.743871Z  INFO gud_drm: frame_stats payload_seq=212 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=19396 output_bytes=1843200 read_size=19396 read_calls=1 first_request_bytes=19396 last_request_bytes=19396 usb_packets_est=38 compression=1 ratio=95.03 recv_ms=10 decompress_ms=1 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=1.85
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.744019Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=212 accepted_transactions=212 rejected_busy_transactions=0 aio_submission_attempts=212 aio_accepted=212 aio_completed=212 processing_started=212 processing_completed=212 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=212 last_sequence=212 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1199 processing_ms_total=1022 complete_transaction_ms_total=1022
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.759309Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=213 receiver_state=InFlight
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.790343Z  INFO gud_drm: frame_stats payload_seq=213 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=607375 output_bytes=1843200 read_size=607375 read_calls=1 first_request_bytes=607375 last_request_bytes=607375 usb_packets_est=1187 compression=1 ratio=3.03 recv_ms=18 decompress_ms=10 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=32.18
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.790484Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=213 accepted_transactions=213 rejected_busy_transactions=0 aio_submission_attempts=213 aio_accepted=213 aio_completed=213 processing_started=213 processing_completed=213 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=213 last_sequence=213 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1217 processing_ms_total=1035 complete_transaction_ms_total=1035
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.813259Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=214 receiver_state=InFlight
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.852300Z  INFO gud_drm: frame_stats payload_seq=214 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=806912 output_bytes=1843200 read_size=806912 read_calls=1 first_request_bytes=806912 last_request_bytes=806912 usb_packets_est=1576 compression=1 ratio=2.28 recv_ms=24 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=32.06
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.852445Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=214 accepted_transactions=214 rejected_busy_transactions=0 aio_submission_attempts=214 aio_accepted=214 aio_completed=214 processing_started=214 processing_completed=214 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=214 last_sequence=214 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1241 processing_ms_total=1050 complete_transaction_ms_total=1050
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.879372Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=215 receiver_state=InFlight
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.929027Z  INFO gud_drm: frame_stats payload_seq=215 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=890795 output_bytes=1843200 read_size=890795 read_calls=1 first_request_bytes=890795 last_request_bytes=890795 usb_packets_est=1740 compression=1 ratio=2.07 recv_ms=35 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=14 usb_mib_s=24.27
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.929785Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=215 accepted_transactions=215 rejected_busy_transactions=0 aio_submission_attempts=215 aio_accepted=215 aio_completed=215 processing_started=215 processing_completed=215 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=215 last_sequence=215 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1276 processing_ms_total=1065 complete_transaction_ms_total=1065
