Aug 24 00:21:27 raspberrypi gud-drm[2360]: 2026-08-23T23:21:27.332688Z  INFO gud_drm: frame_stats payload_seq=812 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=10 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.38
Aug 24 00:21:27 raspberrypi gud-drm[2360]: 2026-08-23T23:21:27.332854Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=812 accepted_transactions=812 rejected_busy_transactions=0 aio_submission_attempts=812 aio_accepted=812 aio_completed=812 processing_started=812 processing_completed=812 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=812 last_sequence=812 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24597 processing_ms_total=10978 complete_transaction_ms_total=10979
Aug 24 00:21:28 raspberrypi gud-drm[2360]: 2026-08-23T23:21:28.310684Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=813 receiver_state=InFlight
Aug 24 00:21:28 raspberrypi gud-drm[2360]: 2026-08-23T23:21:28.334028Z  INFO gud_drm: frame_stats payload_seq=813 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=10 decompress_ms=7 copy_ms=5 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.38
Aug 24 00:21:28 raspberrypi gud-drm[2360]: 2026-08-23T23:21:28.334192Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=813 accepted_transactions=813 rejected_busy_transactions=0 aio_submission_attempts=813 aio_accepted=813 aio_completed=813 processing_started=813 processing_completed=813 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=813 last_sequence=813 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24607 processing_ms_total=10991 complete_transaction_ms_total=10992
Aug 24 00:21:29 raspberrypi gud-drm[2360]: 2026-08-23T23:21:29.310861Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=814 receiver_state=InFlight
Aug 24 00:21:29 raspberrypi gud-drm[2360]: 2026-08-23T23:21:29.333393Z  INFO gud_drm: frame_stats payload_seq=814 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=10 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.38
Aug 24 00:21:29 raspberrypi gud-drm[2360]: 2026-08-23T23:21:29.333558Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=814 accepted_transactions=814 rejected_busy_transactions=0 aio_submission_attempts=814 aio_accepted=814 aio_completed=814 processing_started=814 processing_completed=814 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=814 last_sequence=814 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24617 processing_ms_total=11003 complete_transaction_ms_total=11004
Aug 24 00:21:30 raspberrypi gud-drm[2360]: 2026-08-23T23:21:30.311838Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=815 receiver_state=InFlight
Aug 24 00:21:30 raspberrypi gud-drm[2360]: 2026-08-23T23:21:30.335600Z  INFO gud_drm: frame_stats payload_seq=815 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=10 decompress_ms=8 copy_ms=5 scale_ms=0 flush_ms=0 total_ms=13 usb_mib_s=1.38
Aug 24 00:21:30 raspberrypi gud-drm[2360]: 2026-08-23T23:21:30.335770Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=815 accepted_transactions=815 rejected_busy_transactions=0 aio_submission_attempts=815 aio_accepted=815 aio_completed=815 processing_started=815 processing_completed=815 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=815 last_sequence=815 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24627 processing_ms_total=11016 complete_transaction_ms_total=11017
